"Personas empleadas en las administraciones públicas vascas a 1 de enero por organismos, relación de empleo y periodo"

"organismos","relación de empleo","2024"
"Gobierno Vasco","-Altos Cargos",333
"Gobierno Vasco","-Total personal funcionario",69062
"Gobierno Vasco","--Personal funcionario de carrera",50823
"Gobierno Vasco","--Personal funcionario interino",18239
"Gobierno Vasco","-Total personal laboral",28370
"Gobierno Vasco","--Personal laboral fijo",7416
"Gobierno Vasco","--Personal laboral temporal",20954
"Gobierno Vasco","TOTAL PERSONAL",97765
