;;;;;;;;;;
Personas empleadas en las administraciones públicas vascas por relación de empleo. 01/01/2024

;;;
;Total;Gobierno Vasco;;;Diputaciones forales;;;Entes locales;;;Fundaciones e instituciones vascas sin fines de lucro ;Otros entes públicos vascos;Universidad del País Vasco
;;Total;Administracion General;Organismos autonomos, Entes y Sociedades Públicas, Consorcios;Total;Administracion General;Organismos autonomos, Entes y Sociedades Públicas;Total;Administracion General;Organismos autonomos, Entes y Sociedades Públicas, Consorcios;;;
Total;149104;97765;45083;52682;12665;6471;6194;27783;20918;6865;3907;436;6548
Altos cargos;1420;333;175;158;220;117;103;700;643;57;54;92;21
Total personal funcionario ;96304;69062;37954;31108;7890;5965;1925;16290;15821;469;1;215;2846
Personal funcionario fijo;66107;50823;26240;24583;4521;3710;811;8601;8314;287;1;175;1986
Personal funcionario interino;30197;18239;11714;6525;3369;2255;1114;7689;7507;182;0;40;860
Total personal laboral;51380;28370;6954;21416;4555;389;4166;10793;4454;6339;3852;129;3681
Personal laboral fijo;19169;7416;1359;6057;2710;26;2684;5550;1416;4134;2489;19;985
Personal laboral temporal ;32211;20954;5595;15359;1845;363;1482;5243;3038;2205;1363;110;2696
;;;;;;;;;;;;;
 Nota:  El personal estatutario está incluido tanto en Personal Funcionario como Personal Laboral. El personal Eventual está incluido en el Personal Laboral Temporal;;
;
Fuente: Eustat. Directorio de las administraciones públicas
